coord,weather,snow,rain,message,main,description,icon,base,main,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind,clouds,dt,sys,id,country,sunrise,sunset,timezone,id,name,cod
"{'lon': 115.3333, 'lat': -33.65}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,,"{'temp': 299.18, 'feels_like': 299.36, 'temp_min': 298.15, 'temp_max': 299.82, 'pressure': 1012, 'humidity': 49}",,,stations,"{'temp': 299.18, 'feels_like': 299.36, 'temp_min': 298.15, 'temp_max': 299.82, 'pressure': 1012, 'humidity': 49}",,,,,,10000,"{'speed': 1.79, 'deg': 175, 'gust': 6.26}",{'all': 0},1612323267,"{'type': 3, 'id': 2008303, 'country': 'AU', 'sunrise': 1612302153, 'sunset': 1612351340}",2075265,,,,28800,2075265,Busselton,200
"{'lon': -73.9662, 'lat': 42.6001}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",{'1h': 0.15},,,"{'temp': 269.71, 'feels_like': 266.76, 'temp_min': 269.26, 'temp_max': 269.82, 'pressure': 995, 'humidity': 87}",,,stations,"{'temp': 269.71, 'feels_like': 266.76, 'temp_min': 269.26, 'temp_max': 269.82, 'pressure': 995, 'humidity': 87}",,,,,,1544,"{'speed': 0.45, 'deg': 355, 'gust': 1.34}",{'all': 98},1612323195,"{'type': 3, 'id': 19530, 'country': 'US', 'sunrise': 1612267723, 'sunset': 1612303826}",5106841,,,,-18000,5106841,Albany,200
"{'lon': -25.0201, 'lat': 17.1503}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",,,,"{'temp': 293.15, 'feels_like': 288.59, 'temp_min': 293.15, 'temp_max': 293.15, 'pressure': 1015, 'humidity': 77}",,,stations,"{'temp': 293.15, 'feels_like': 288.59, 'temp_min': 293.15, 'temp_max': 293.15, 'pressure': 1015, 'humidity': 77}",,,,,,10000,"{'speed': 9.26, 'deg': 60}",{'all': 40},1612323863,"{'type': 1, 'id': 2467, 'country': 'CV', 'sunrise': 1612339870, 'sunset': 1612380998}",3374351,,,,-3600,3374351,Pombas,200
"{'lon': -114.3525, 'lat': 62.456}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",,,,"{'temp': 247.15, 'feels_like': 240.08, 'temp_min': 247.15, 'temp_max': 247.15, 'pressure': 1025, 'humidity': 70}",,,stations,"{'temp': 247.15, 'feels_like': 240.08, 'temp_min': 247.15, 'temp_max': 247.15, 'pressure': 1025, 'humidity': 70}",,,,,,10000,"{'speed': 4.63, 'deg': 10}",{'all': 90},1612323283,"{'type': 1, 'id': 1007, 'country': 'CA', 'sunrise': 1612281729, 'sunset': 1612309207}",6185377,,,,-25200,6185377,Yellowknife,200
"{'lon': 167.7167, 'lat': -45.4167}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",,,,"{'temp': 294.4, 'feels_like': 293.25, 'temp_min': 294.4, 'temp_max': 294.4, 'pressure': 1020, 'humidity': 55, 'sea_level': 1020, 'grnd_level': 995}",,,stations,"{'temp': 294.4, 'feels_like': 293.25, 'temp_min': 294.4, 'temp_max': 294.4, 'pressure': 1020, 'humidity': 55, 'sea_level': 1020, 'grnd_level': 995}",,,,,,10000,"{'speed': 2.46, 'deg': 193}",{'all': 14},1612323284,"{'country': 'NZ', 'sunrise': 1612288037, 'sunset': 1612340309}",2181625,,,,46800,2181625,Te Anau,200
"{'lon': 15.6401, 'lat': 78.2186}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",,,,"{'temp': 269.15, 'feels_like': 262.21, 'temp_min': 269.15, 'temp_max': 269.15, 'pressure': 1017, 'humidity': 68}",,,stations,"{'temp': 269.15, 'feels_like': 262.21, 'temp_min': 269.15, 'temp_max': 269.15, 'pressure': 1017, 'humidity': 68}",,,,,,10000,"{'speed': 5.66, 'deg': 160}",{'all': 75},1612323269,"{'type': 1, 'id': 1663, 'country': 'SJ', 'sunrise': 0, 'sunset': 0}",2729907,,,,3600,2729907,Longyearbyen,200
"{'lon': -70.9167, 'lat': -53.15}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",,,,"{'temp': 286.04, 'feels_like': 281.92, 'temp_min': 285.93, 'temp_max': 286.15, 'pressure': 1006, 'humidity': 71}",,,stations,"{'temp': 286.04, 'feels_like': 281.92, 'temp_min': 285.93, 'temp_max': 286.15, 'pressure': 1006, 'humidity': 71}",,,,,,10000,"{'speed': 5.14, 'deg': 280}",{'all': 90},1612323268,"{'type': 1, 'id': 8487, 'country': 'CL', 'sunrise': 1612343922, 'sunset': 1612398978}",3874787,,,,-10800,3874787,Punta Arenas,200
"{'lon': 125.4092, 'lat': -8.9266}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",,,,"{'temp': 292.07, 'feels_like': 294.29, 'temp_min': 292.07, 'temp_max': 292.07, 'pressure': 1007, 'humidity': 100, 'sea_level': 1007, 'grnd_level': 854}",,,stations,"{'temp': 292.07, 'feels_like': 294.29, 'temp_min': 292.07, 'temp_max': 292.07, 'pressure': 1007, 'humidity': 100, 'sea_level': 1007, 'grnd_level': 854}",,,,,,10000,"{'speed': 1.4, 'deg': 287}",{'all': 98},1612323284,"{'country': 'TL', 'sunrise': 1612301875, 'sunset': 1612346781}",1651810,,,,32400,1651810,Airai,200
"{'lon': 116.6142, 'lat': 23.1935}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",,,,"{'temp': 292.15, 'feels_like': 290.22, 'temp_min': 292.15, 'temp_max': 292.15, 'pressure': 1024, 'humidity': 48}",,,stations,"{'temp': 292.15, 'feels_like': 290.22, 'temp_min': 292.15, 'temp_max': 292.15, 'pressure': 1024, 'humidity': 48}",,,,,,10000,"{'speed': 2, 'deg': 60}",{'all': 0},1612323863,"{'type': 1, 'id': 9632, 'country': 'CN', 'sunrise': 1612306367, 'sunset': 1612346511}",1809062,,,,28800,1809062,Haimen,200
"{'lon': 102.5, 'lat': 71.9667}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",,,,"{'temp': 246.07, 'feels_like': 241.13, 'temp_min': 246.07, 'temp_max': 246.07, 'pressure': 1015, 'humidity': 87, 'sea_level': 1015, 'grnd_level': 1011}",,,stations,"{'temp': 246.07, 'feels_like': 241.13, 'temp_min': 246.07, 'temp_max': 246.07, 'pressure': 1015, 'humidity': 87, 'sea_level': 1015, 'grnd_level': 1011}",,,,,,1956,"{'speed': 1.61, 'deg': 339}",{'all': 100},1612323279,"{'country': 'RU', 'sunrise': 1612322557, 'sunset': 1612337096}",2022572,,,,25200,2022572,Khatanga,200
